  ID  lat_ori  lon_ori  lat_MERIT  lon_MERIT  area_MERIT  width_MERIT  elv_MERIT
            1255         9.7440        17.7770         9.7417        17.7750    466144.8125       180.7255       343.1000
            1256        10.5900        16.9630        10.5917        16.9583    475035.9062       202.2006       325.2000
            1257        28.6880        80.2630        28.6917        80.2584     16457.4609       225.7938       169.2000
            1258        26.4340        96.6000        26.4083        96.5750      5641.8662        79.0957       188.6000
            1259        26.6180        96.5120        26.5917        96.4917      6005.5552       165.8849       191.6000
            1260        26.7170        96.4640        26.6917        96.4750      4855.2832       187.1807       201.1000
            1261        22.8810        94.5330        22.8750        94.5250    100316.4062       322.6464        80.5000
            1262        26.2910        96.0970        26.2917        96.0917     18643.2988       198.1218       157.7000
            1263         5.5350        24.3130         5.5250        24.2917     48127.2578       171.2935       530.6000
            1264         9.2210        -4.0300         9.2250        -4.0250     28681.4902        30.1459       202.7000
            1265         9.0580        -3.8850         9.0583        -3.8917     31206.8340        32.2648       194.4000
            1266         9.1020        -3.8750         9.1083        -3.8750     30570.6211        31.2986       195.9000
            1267         7.0050        -3.7360         7.0083        -3.7417     67063.1328        13.5000       122.6000
            1268         7.9280        -3.9430         7.9250        -3.9417     49390.9727        47.6929       156.9000
            1269         7.9730        -3.9530         7.9750        -3.9583     49127.1367        11.2500       159.0000
            1270         8.1070        -3.9830         8.1083        -3.9750     48640.9297        72.3663       160.9000
            1271         8.1750        -3.9990         8.1750        -3.9917     48093.6680        13.5000       164.4000
            1272         8.3070        -4.0280         8.3083        -4.0250     46436.5039        32.4448       166.2000
            1273         9.6010        -4.3200         9.6083        -4.3250     20303.6719        11.2500       214.0000
            1274         6.3670        -3.5530         6.3750        -3.5583     70889.5938        13.5000        96.0000
            1275        -6.0340        12.7220        -6.0250        12.6917   3675039.0000      1243.5464         0.0000
            1276        -2.2620        16.1810        -2.2750        16.1917   2661951.2500      1048.6494       283.4000
            1277        -6.0320        12.7880        -5.9750        12.7417   3674767.5000      1112.1829         0.0000
            1278         1.4210        23.4000         1.4417        23.3917   1250149.1250       966.8873       357.7000
            1279         0.6090        24.7160         0.6250        24.6917   1013296.1250      1390.1104       372.9000
            1280        -1.9450        16.3670        -1.9750        16.3917   2648381.5000       841.1956       284.4000
            1281        -1.2790        25.7610        -1.2750        25.7583    913851.6250      1064.4979       430.6000
            1282         2.0640        21.2360         2.0750        21.2250   1324432.8750       840.4233       336.2000
            1283        -0.9150        17.3870        -0.9083        17.3917   2328978.5000      2483.7903       292.8000
            1284         1.8900        19.8430         1.8750        19.8417   1333578.3750      1054.0311       321.3000
            1285         1.2270        23.5740         1.2250        23.5583   1248641.7500      1274.3912       358.1000
            1286        -4.9540        14.1490        -4.9583        14.1417   3639262.2500      2501.9968       172.7000
            1287        -1.0140        17.2500        -1.0083        17.2417   2330801.5000      1942.8334       292.8000
            1288         1.3640        23.4450         1.3583        23.4417   1249176.8750       571.9284       357.7000
            1289        -4.1450        15.4140        -4.1417        15.4750   3596843.2500      2103.2649       268.4000
            1290        -4.3010        15.4490        -4.3083        15.4417   3602177.7500      3639.7952       268.4000
            1291        -3.1540        25.9270        -3.1583        25.9250    784109.6250       536.7064       449.2000
            1292         0.7210        24.5490         0.7417        24.5417   1015250.6250       900.3394       371.0000
            1293         0.8740        24.2140         0.8917        24.1917   1122528.0000       714.1270       367.4000
            1294         2.0660        21.2850         2.0583        21.2750   1324381.6250       651.6932       336.6000
            1295         2.0930        21.3000         2.0750        21.2917   1324370.7500       892.1457       336.6000
            1296        -4.0540        15.5500        -4.0583        15.5417   3596356.0000      1963.3647       268.5000
            1297         2.1820        21.9260         2.1917        21.9083   1317930.2500      1020.3995       342.8000
            1298        -1.3700        16.7910        -1.3583        16.7417   2616506.0000       812.5782       287.6000
