ID  Lat Lon EGM96_h
1487  24.335  88.679  -56.02
1488  22.635  90.824  -55.12
1489  25.306  82.150  -61.83
1490  25.315  86.994  -60.28
1491  23.875  89.694  -55.69
1492  23.796  89.674  -55.73
1493  44.581  -0.074  47.55
1494  44.281  0.333 48.38
1495  44.295  0.321 48.34
1496  44.445  0.191 47.94
1497  44.462  0.177 47.90
1498  44.499  0.145 47.80
1499  44.423  0.214 48.00
1500  45.598  -1.088  47.28
1501  4.318 41.939  -29.67
1502  4.437 41.835  -29.26
1503  25.829  84.541  -65.10
1504  25.850  84.551  -65.13
1505  26.778  82.261  -67.39
1506  0.733 17.980  -10.81
1507  1.713 18.526  -9.26
1508  0.960 18.179  -10.58
1509  1.636 18.454  -9.25
1510  1.685 18.485  -9.21
1511  14.790  0.476 22.09
1512  -17.723 -62.754 21.36
1513  -17.776 -62.767 21.26
1514  -17.884 -62.792 21.09
1515  -17.930 -62.803 21.04
1516  -16.106 -63.806 22.42
1517  -18.747 -63.185 22.37
1518  -15.875 -64.674 22.50
1519  -16.104 -63.813 22.39
1520  -17.134 -62.848 22.51
1521  -17.470 -62.769 21.95
1522  -19.043 -63.785 27.89
1523  -15.925 -64.567 21.83
1524  -15.982 -64.503 21.13
1525  2.692 -68.004 2.47
1526  2.671 -67.524 0.72
1527  2.305 -69.356 7.32
1528  2.351 -69.031 6.22
1529  2.172 -67.187 0.36
1530  2.396 -67.220 0.02
1531  2.315 -67.202 0.12
1532  2.142 -67.164 0.30
1533  2.376 -68.653 5.15
1534  2.269 -68.331 4.59
1535  2.004 -70.008 10.72
1536  1.986 -69.831 10.18
1537  -13.536 -61.784 18.35
1538  -12.089 -64.728 22.53
1539  -12.138 -64.717 22.67
1540  -12.610 -63.408 21.23
1541  -12.754 -63.042 20.56
1542  -13.544 -60.931 17.08
1543  -12.467 -64.194 22.56
1544  -12.448 -64.410 22.93
1545  -13.553 -60.944 17.11
1546  -15.002 -59.965 16.29
1547  -13.144 -62.332 18.95
1548  -13.509 -61.059 17.29
1549  -12.511 -63.913 22.13
1550  -13.120 -62.407 19.05
1551  -12.459 -63.694 21.54
1552  -11.998 -65.026 23.02
1553  -15.150 -59.716 15.64
1554  -13.533 -61.525 17.97
1555  -13.935 -60.438 16.02
1556  -12.633 -63.168 20.72
1557  3.728 -68.821 -0.30
1558  2.703 -72.532 16.18
1559  9.609 7.460 24.51
1560  9.233 6.984 25.85
1561  11.196  105.058 -12.06
1562  11.105  11.236  18.97
1563  -0.111  -75.291 19.56
1564  -2.246  -70.955 15.85
1565  -1.033  -74.037 19.64
1566  0.236 -75.963 18.46
1567  -2.900  -68.749 13.05
1568  -2.894  -68.353 11.39
1569  -2.335  -70.736 15.91
1570  0.051 -75.805 18.70
1571  -3.027  -68.183 10.96
1572  -2.699  -70.142 16.06
1573  -1.478  -73.515 19.31
1574  -2.252  -70.925 15.85
1575  -2.918  -69.645 16.06
1576  -2.300  -71.491 16.44
1577  -2.272  -71.485 16.39
1578  -2.345  -71.501 16.53
1579  -2.373  -71.202 16.18
1580  -2.403  -72.951 19.15
1581  -2.193  -71.832 16.93
1582  -2.385  -72.636 18.62
1583  -1.046  -74.090 19.60
1584  -0.489  -74.490 19.31
1585  -0.104  -75.320 19.55
1586  -3.091  -68.072 10.73
1587  0.313 -76.103 18.14
1588  0.618 -76.598 18.43
1589  0.603 -76.602 18.37
1590  -2.857  -69.458 15.59
1591  0.375 -76.140 18.07
1592  -3.005  -68.907 13.92
1593  -2.974  -68.854 13.63
1594  -2.294  -70.771 15.87
1595  -2.427  -72.836 19.01
1596  -2.463  -70.463 15.88
1597  -2.426  -72.238 17.93
1598  -2.349  -71.925 17.32
1599  -1.522  -73.476 19.22
1600  -1.616  -73.496 19.16
1601  -1.717  -73.519 19.12
1602  -1.328  -73.587 19.54
1603  -1.430  -73.565 19.42
1604  -1.661  -73.514 19.15
1605  -1.727  -73.499 19.09
1606  -0.369  -74.660 19.30
1607  0.694 -67.470 3.73
1608  0.268 18.469  -13.09
1609  0.355 19.011  -14.25
1610  0.163 18.355  -12.70
1611  0.344 19.250  -14.69
1612  43.349  83.925  -49.94
1613  44.646  76.522  -48.67
1614  44.631  76.569  -48.61
1615  44.558  76.633  -48.29
1616  43.835  78.660  -48.52
1617  43.788  80.128  -49.90
1618  44.920  75.844  -48.23
1619  43.522  83.238  -51.46
1620  43.534  83.175  -51.68
1621  43.359  83.897  -49.97
1622  43.875  79.770  -50.12
1623  43.782  81.506  -51.82
1624  -25.535 32.745  15.24
1625  -25.314 31.754  15.42
1626  27.170  68.174  -44.77
1627  27.488  68.329  -44.08
1628  27.543  68.351  -43.93
1629  28.605  70.023  -45.74
1630  2.837 -69.140 4.19
1631  -5.789  -63.297 0.17
1632  -5.841  -63.309 0.44
1633  -4.380  -53.630 -21.31
1634  -6.311  -54.060 -20.41
1635  -3.942  -53.153 -20.79
1636  -4.658  -54.452 -20.11
1637  -3.929  -53.167 -20.74
1638  -3.963  -53.175 -20.80
1639  -6.910  -53.827 -20.08
1640  -7.026  -53.852 -19.89
1641  -7.031  -53.853 -19.88
1642  -4.380  -53.514 -21.43
1643  -3.861  -52.761 -21.55
1644  -9.270  -53.865 -13.90
1645  -7.813  -53.309 -19.24
1646  -8.051  -53.362 -18.75
1647  -8.470  -53.455 -17.68
1648  -8.950  -53.562 -15.66
1649  -4.531  -54.019 -20.76
1650  -5.661  -54.268 -20.69
1651  -4.776  -54.656 -20.11
1652  -4.811  -54.664 -20.13
1653  -3.882  -52.905 -21.25
1654  -4.590  -54.186 -20.45
1655  -7.391  -53.566 -19.66
1656  -8.069  -53.415 -18.67
1657  25.092  97.231  -43.99
1658  22.926  94.489  -51.62
1659  21.910  95.823  -48.92
1660  24.939  97.148  -44.62
1661  26.288  96.087  -49.11
